name,team,image,battingStyle,bowlingStyle,playingRole,Predicted Runs
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",Right hand Bat,Right arm Medium,Top order Batter,44.34716462194623
George Munsey,Scotland,https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320365.png,Left hand Bat,Right arm Medium fast,Opening Batter,40.889798952499056
Brandon King,West Indies,https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321983.png,Right hand Bat,,Top order Batter,39.257017829040706
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,39.088009523674366
Aaron Finch(c),Australia,https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316533.png,Right hand Bat,Slow Left arm Orthodox,Top order Batter,37.58202798709004
Jos Buttler(c),England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316642.png",Right hand Bat,,Wicketkeeper Batter,36.83508470967049
